position,outer_season,specification,method,inner_mean_mae,inner_mean_spearman,alpha,selected
QB,2012,SELECTED_MAIN,ridge,3.0861119371035834,0.6872008512875386,1.0,True
QB,2012,SELECTED_MAIN,ridge,3.0879632177059566,0.6975660398648015,10.0,False
QB,2012,SELECTED_MAIN,ridge,3.205344211190687,0.6802264549942568,0.1,False
QB,2012,SELECTED_MAIN,ridge,3.241680537259183,0.679335189397109,0.01,False
QB,2012,SELECTED_MAIN,ols,3.2463417348357395,0.6813108492675056,,False
QB,2012,SELECTED_MAIN,ridge,3.2604256830887564,0.735393904318053,100.0,False
QB,2012,SELECTED_MAIN,ridge,3.9266012680381173,0.7405252318178014,1000.0,False
QB,2013,SELECTED_MAIN,ridge,2.990288867941264,0.6767027557050528,10.0,True
QB,2013,SELECTED_MAIN,ridge,3.04303692604532,0.6656022513688797,1.0,False
QB,2013,SELECTED_MAIN,ridge,3.109683556926618,0.7219083314643462,100.0,False
QB,2013,SELECTED_MAIN,ridge,3.1753045695454563,0.6607746799553701,0.1,False
QB,2013,SELECTED_MAIN,ridge,3.211011778254317,0.6579892952736381,0.01,False
QB,2013,SELECTED_MAIN,ols,3.2155154495787497,0.6594710401764357,,False
QB,2013,SELECTED_MAIN,ridge,3.7539234258925376,0.7351318270891576,1000.0,False
QB,2014,SELECTED_MAIN,ridge,2.9643841604828416,0.6418301190025449,10.0,True
QB,2014,SELECTED_MAIN,ridge,3.0321424518248197,0.6149015871913605,1.0,False
QB,2014,SELECTED_MAIN,ridge,3.0683414992811153,0.674117574262386,100.0,False
QB,2014,SELECTED_MAIN,ridge,3.1534611743470813,0.6089004926273976,0.1,False
QB,2014,SELECTED_MAIN,ridge,3.184436095115361,0.6062711153632956,0.01,False
QB,2014,SELECTED_MAIN,ols,3.188322232982543,0.6074565112855336,,False
QB,2014,SELECTED_MAIN,ridge,3.638219979281227,0.6731990445590267,1000.0,False
QB,2015,SELECTED_MAIN,ridge,3.0051386351845837,0.6156651075434156,10.0,True
QB,2015,SELECTED_MAIN,ridge,3.0128061374877535,0.6459758630324395,100.0,False
QB,2015,SELECTED_MAIN,ridge,3.089236573963107,0.5795711823021321,1.0,False
QB,2015,SELECTED_MAIN,ridge,3.18140111920762,0.5771300571804916,0.1,False
QB,2015,SELECTED_MAIN,ridge,3.201209383227314,0.5758891443930894,0.01,False
QB,2015,SELECTED_MAIN,ols,3.203582849495232,0.5765856174734634,,False
QB,2015,SELECTED_MAIN,ridge,3.5280858272871582,0.6408289146888968,1000.0,False
QB,2016,SELECTED_MAIN,ridge,3.147109376737178,0.6481190588598459,100.0,True
QB,2016,SELECTED_MAIN,ridge,3.1492965387307423,0.6288448865126683,10.0,False
QB,2016,SELECTED_MAIN,ridge,3.211137630282873,0.5940676625880861,1.0,False
QB,2016,SELECTED_MAIN,ridge,3.2812446497603753,0.5854340291686742,0.1,False
QB,2016,SELECTED_MAIN,ridge,3.2961571608517417,0.5835453431019195,0.01,False
QB,2016,SELECTED_MAIN,ols,3.2979413141010787,0.5820847603410273,,False
QB,2016,SELECTED_MAIN,ridge,3.556698421800843,0.6452834501960638,1000.0,False
QB,2017,SELECTED_MAIN,ridge,3.16971884316565,0.6303051766496788,100.0,True
QB,2017,SELECTED_MAIN,ridge,3.1779079510307033,0.6176702722807785,10.0,False
QB,2017,SELECTED_MAIN,ridge,3.2620427300230097,0.5823662907860951,1.0,False
QB,2017,SELECTED_MAIN,ridge,3.3214951971896225,0.5752446296216894,0.1,False
QB,2017,SELECTED_MAIN,ridge,3.3319755569124574,0.5717333579153213,0.01,False
QB,2017,SELECTED_MAIN,ols,3.3332154111211034,0.570272775154429,,False
QB,2017,SELECTED_MAIN,ridge,3.5794569351914447,0.6295592196111521,1000.0,False
QB,2018,SELECTED_MAIN,ridge,3.184455074422469,0.6208007708145029,10.0,True
QB,2018,SELECTED_MAIN,ridge,3.192796551930092,0.6174752646262184,100.0,False
QB,2018,SELECTED_MAIN,ridge,3.2088232368822966,0.5910906309620481,1.0,False
